sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric				
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	AVG%NONCHIMERIC	TOTALPASSED	AVGPASSED	SEPASSED
A27a1	126291	111700	88.45	111254	110265	87.31	104773	82.96	83.34863309	6588207	45673.46763	3918.669321
A27a10	20984	18925	90.19	18754	18551	88.41	18453	87.94				
A27a11	53576	46188	86.21	46093	45603	85.12	42938	80.14				
A27a12	77600	65986	85.03	65901	65449	84.34	63491	81.82				
A27a13	22238	20404	91.75	20328	20161	90.66	20161	90.66				
A27a14	4800	3858	80.38	3846	3835	79.9	3835	79.9				
A27a15	3797	3130	82.43	3088	2945	77.56	2945	77.56				
A27a17	14138	13014	92.05	12991	12981	91.82	12981	91.82				
A27a18	140119	125166	89.33	125014	124708	89	124005	88.5				
A27a19	90328	83146	92.05	83041	82060	90.85	82060	90.85				
A27a20	281504	249430	88.61	248397	245798	87.32	239039	84.91				
A27a5	3771	3128	82.95	3113	3082	81.73	3082	81.73				
A27a6	61710	54278	87.96	53829	52990	85.87	52241	84.66				
A27a7	16236	15024	92.54	15001	14973	92.22	14973	92.22				
A27a8	120074	99452	82.83	99155	97573	81.26	94846	78.99				
A27a9	37069	31680	85.46	31467	31086	83.86	30953	83.5				
A28a1	2201	1785	81.1	1765	1666	75.69	1666	75.69				
A28a11	10002	8504	85.02	8476	8445	84.43	8276	82.74				
A28a12	45206	37516	82.99	37368	36963	81.77	36670	81.12				
A28a13	22667	19831	87.49	19796	19610	86.51	18973	83.7				
A28a14	19195	17687	92.14	17642	17584	91.61	17584	91.61				
A28a16	2354	2134	90.65	2120	2100	89.21	2100	89.21				
A28a17	2439	1947	79.83	1914	1816	74.46	1816	74.46				
A28a18	79335	68564	86.42	68003	65758	82.89	64681	81.53				
A28a19	30949	25631	82.82	25444	24710	79.84	24550	79.32				
A28a2	63894	49174	76.96	48449	46571	72.89	46021	72.03				
A28a20	29687	23094	77.79	23030	22722	76.54	22722	76.54				
A28a3	33085	28496	86.13	28355	28195	85.22	27167	82.11				
A28a4	43153	35456	82.16	35411	35243	81.67	34329	79.55				
A28a5	88242	80131	90.81	79817	78736	89.23	76121	86.26				
A28a6	32987	26841	81.37	26161	23615	71.59	23540	71.36				
A28a7	30908	28291	91.53	28253	28160	91.11	28160	91.11				
A28a8	57593	53184	92.34	52943	52358	90.91	52190	90.62				
A28a9	1784	1189	66.65	1180	1135	63.62	1135	63.62				
A29a1	121600	100554	82.69	99824	98296	80.84	92129	75.76				
A29a10	18060	16386	90.73	16328	16215	89.78	16215	89.78				
A29a11	32244	29861	92.61	29826	29589	91.77	29270	90.78				
A29a12	79464	73278	92.22	73172	72978	91.84	72888	91.72				
A29a13	305592	272048	89.02	271790	269788	88.28	258903	84.72				
A29a14	249363	221240	88.72	220083	216786	86.94	206622	82.86				
A29a15	66159	59941	90.6	59752	58793	88.87	56256	85.03				
A29a16	58353	48889	83.78	48770	48399	82.94	47228	80.93				
A29a17	114286	101419	88.74	100818	99433	87	97024	84.9				
A29a18	16104	14555	90.38	14505	14375	89.26	14375	89.26				
A29a19	486	239	49.18	210	194	39.92	194	39.92				
A29a2	103406	71119	68.78	70912	67255	65.04	65721	63.56				
A29a20	153925	142924	92.85	142829	141697	92.06	141654	92.03				
A29a3	81413	66290	81.42	66131	65668	80.66	64131	78.77				
A29a4	25774	22345	86.7	22297	22216	86.2	21978	85.27				
A29a5	44549	36613	82.19	36550	36259	81.39	35434	79.54				
A29a6	68986	56661	82.13	56462	55845	80.95	54454	78.93				
A29a7	112439	94676	84.2	94420	93467	83.13	90485	80.47				
A29a8	39926	30072	75.32	29934	29406	73.65	29099	72.88				
A29a9	18232	16496	90.48	16456	16388	89.89	16385	89.87				
A30a1	3269	2275	69.59	2224	2132	65.22	2132	65.22				
A30a10	104563	87427	83.61	87135	86244	82.48	86129	82.37				
A30a11	76740	62014	80.81	61553	60007	78.2	57453	74.87				
A30a12	33025	25069	75.91	24927	24435	73.99	24429	73.97				
A30a13	30512	27374	89.72	27331	27283	89.42	27186	89.1				
A30a14	24305	23212	95.5	23169	23124	95.14	22991	94.59				
A30a15	32117	26266	81.78	26211	26045	81.09	25919	80.7				
A30a3	46928	38574	82.2	38286	37695	80.33	35606	75.87				
A30a4	35355	29640	83.84	29573	29480	83.38	29145	82.44				
A30a5	23765	21240	89.38	21194	21119	88.87	21119	88.87				
A30a6	1434	274	19.11	269	263	18.34	263	18.34				
A30a7	195031	163811	83.99	163531	163112	83.63	160762	82.43				
A30a9	164368	139008	84.57	137728	133054	80.95	123450	75.11				
A31a1	281517	236894	84.15	236460	232605	82.63	222911	79.18				
A31a10	7690	6528	84.89	6421	6284	81.72	6284	81.72				
A31a11	2051	1518	74.01	1509	1503	73.28	1503	73.28				
A31a12	9077	7198	79.3	7169	7108	78.31	7108	78.31				
A31a13	20360	19067	93.65	18769	18409	90.42	18409	90.42				
A31a14	24729	23315	94.28	23104	22899	92.6	22863	92.45				
A31a15	7430	6784	91.31	6739	6691	90.05	6691	90.05				
A31a16	27391	25437	92.87	25415	25408	92.76	25408	92.76				
A31a2	172457	150890	87.49	150718	147659	85.62	142759	82.78				
A31a3	47324	39842	84.19	39645	39051	82.52	37701	79.67				
A31a4	3350	2727	81.4	2700	2674	79.82	2674	79.82				
A31a5	100296	85013	84.76	84693	83889	83.64	83053	82.81				
A31a6	82848	71717	86.56	71135	69882	84.35	69149	83.46				
A31a7	177525	167991	94.63	167603	167028	94.09	166645	93.87				
A31a8	9168	8401	91.63	8290	8190	89.33	8190	89.33				
A31a9	2011	1404	69.82	1390	1383	68.77	1383	68.77				
A32a1	2849	2367	83.08	2353	2352	82.56	2352	82.56				
A32a10	43438	39782	91.58	39668	39415	90.74	39406	90.72				
A32a11	37212	35335	94.96	35283	35000	94.06	34977	93.99				
A32a2	2276	1481	65.07	1456	1413	62.08	1413	62.08				
A32a3	96197	84296	87.63	83979	83257	86.55	81096	84.3				
A32a4	9693	8617	88.9	8607	8577	88.49	8577	88.49				
A32a5	64604	61001	94.42	60817	60403	93.5	60329	93.38				
A32a6	77547	72614	93.64	72561	72079	92.95	71481	92.18				
A32a7	71782	68796	95.84	68722	68464	95.38	68389	95.27				
A32a8	80434	72907	90.64	72837	68162	84.74	67806	84.3				
A32a9	26820	25070	93.48	25052	24846	92.64	24846	92.64				
MW10a2	32773	28128	85.83	27633	26576	81.09	25597	78.1				
MW10a3	55876	52552	94.05	52321	51795	92.7	49685	88.92				
MW10a4	42938	40608	94.57	40563	40455	94.22	39749	92.57				
MW11a1	40505	38496	95.04	38401	38086	94.03	36980	91.3				
MW11a5	36976	34137	92.32	33920	33752	91.28	33752	91.28				
MW12a1	49171	45665	92.87	45507	45132	91.79	45102	91.72				
MW12a2	35912	33261	92.62	31969	29430	81.95	29174	81.24				
MW12a3	32910	30703	93.29	30518	30192	91.74	30187	91.73				
MW12a4	38572	36317	94.15	36296	36203	93.86	36203	93.86				
MW12a5	52249	49319	94.39	49247	48730	93.26	47260	90.45				
MW12a6	39512	36170	91.54	36017	35638	90.2	35161	88.99				
MW13a1	14	8	57.14	8	8	57.14	8	57.14				
MW1a1	89873	84102	93.58	83555	81457	90.64	80749	89.85				
MW2a1	43810	41474	94.67	40819	39800	90.85	39298	89.7				
MW2a2	72204	67009	92.81	66895	66111	91.56	64252	88.99				
MW3a2	51218	47753	93.23	47684	47351	92.45	47345	92.44				
MW3a3	2224	1812	81.47	1719	1633	73.43	1633	73.43				
MW3a4	49528	45909	92.69	45814	45570	92.01	45432	91.73				
MW4a2	26931	25342	94.1	25096	24804	92.1	24619	91.42				
MW4a4	43559	41216	94.62	41063	40787	93.64	40755	93.56				
MW4a5	4097	2497	60.95	2486	2478	60.48	2478	60.48				
MW4a6	48605	45819	94.27	45395	44198	90.93	42776	88.01				
MW5a1	56732	51608	90.97	51196	47430	83.6	47347	83.46				
MW5a2	57851	52508	90.76	51482	49707	85.92	48776	84.31				
MW5a3	35256	32297	91.61	31547	29435	83.49	29282	83.06				
MW5a4	57260	53773	93.91	52156	48996	85.57	48745	85.13				
MW6a1	12171	11092	91.13	11019	10767	88.46	10758	88.39				
MW6a3	56812	53697	94.52	53485	53069	93.41	53022	93.33				
MW6a4	15620	14453	92.53	14330	14085	90.17	14068	90.06				
MW6a5	29651	27373	92.32	27029	26454	89.22	25987	87.64				
MW6a6	17972	16040	89.25	15906	15642	87.04	15642	87.04				
MW6a7	33358	29595	88.72	29543	29493	88.41	29246	87.67				
MW6a8	67274	61909	92.03	61745	61143	90.89	61040	90.73				
MW7a1	27522	23595	85.73	23477	23214	84.35	23214	84.35				
MW7a2	22262	19298	86.69	19249	19062	85.63	19060	85.62				
MW7a3	92095	85527	92.87	85329	84554	91.81	79418	86.23				
MW7a4	38283	33762	88.19	33748	33686	87.99	33686	87.99				
MW8a1	40661	35836	88.13	34833	32609	80.2	32511	79.96				
MW8a2	38750	34219	88.31	34144	33828	87.3	33702	86.97				
MW8a3	42212	38483	91.17	38086	36902	87.42	35639	84.43				
MW8a4	44386	39814	89.7	39733	39607	89.23	39607	89.23				
MW9a1	50069	45462	90.8	45342	44797	89.47	43552	86.98				
MW9a3	31858	28835	90.51	28816	28552	89.62	28552	89.62				
MW9a4	31541	27967	88.67	27883	27662	87.7	27455	87.05				
ZymoNEG	88551	70827	79.98	70509	69280	78.24	61199	69.11				
	7517369											
